# rel	by_steps_available	take
Algebra/Divisibility.thy	637	50
Algebra/Polynomial_Divisibility.thy	470	50
Algebra/Polynomials.thy	538	50
Analysis/Further_Topology.thy	1312	50
Analysis/Henstock_Kurzweil_Integration.thy	1307	50
Analysis/Urysohn.thy	1352	50
Bit_Operations.thy	819	50
Cardinals/Cardinal_Order_Relation.thy	357	50
Cardinals/Ordinal_Arithmetic.thy	479	50
Cardinals/Wellorder_Constructions.thy	152	50
Combinatorics/Orbits.thy	143	50
Combinatorics/Perm.thy	191	50
Combinatorics/Permutations.thy	507	50
Complex_Analysis/Cauchy_Integral_Formula.thy	669	50
Complex_Analysis/Complex_Singularities.thy	659	50
Complex_Analysis/Laurent_Convergence.thy	595	50
Computational_Algebra/Formal_Laurent_Series.thy	897	50
Computational_Algebra/Formal_Power_Series.thy	685	50
Computational_Algebra/Polynomial.thy	1144	50
Data_Structures/Array_Braun.thy	115	50
Data_Structures/Selection.thy	237	50
Decision_Procs/Approximation_Bounds.thy	653	12
Decision_Procs/MIR.thy	1786	50
Decision_Procs/Parametric_Ferrante_Rackoff.thy	759	50
Hahn_Banach/Subspace.thy	99	50
Hahn_Banach/Vector_Space.thy	99	50
Homology/Invariance_of_Domain.thy	703	50
Homology/Simplices.thy	583	50
Isar_Examples/Group.thy	42	42
Isar_Examples/Mutilated_Checkerboard.thy	58	50
Lattice/CompleteLattice.thy	46	46
Lattice/Lattice.thy	77	50
Library/Extended_Real.thy	777	50
Library/Multiset.thy	1022	50
List.thy	1778	50
Number_Theory/Cong.thy	189	50
Number_Theory/Pocklington.thy	372	50
Number_Theory/Residue_Primitive_Roots.thy	295	50
Probability/Probability_Mass_Function.thy	564	50
Probability/SPMF.thy	662	50
Transcendental.thy	1825	50
