rel,domain,goals,oneliners,structured,has_sorry
List.thy,.,1297,1059,238,0
Transcendental.thy,.,916,671,245,0
Computational_Algebra/Formal_Laurent_Series.thy,Computational_Algebra,571,487,84,0
Library/Word.thy,Library,496,456,40,0
Analysis/Abstract_Topology.thy,Analysis,595,442,153,0
Library/Multiset.thy,Library,567,442,125,0
Bit_Operations.thy,.,522,438,84,0
Relation.thy,.,416,410,6,0
Set.thy,.,413,405,8,0
Library/Extended_Real.thy,Library,479,373,106,0
Library/FSet.thy,Library,370,357,13,0
Topological_Spaces.thy,.,439,335,104,0
Analysis/Path_Connected.thy,Analysis,438,328,110,0
Analysis/Complex_Transcendental.thy,Analysis,471,318,153,0
Nat.thy,.,363,295,67,0
Computational_Algebra/Polynomial.thy,Computational_Algebra,432,294,138,0
Nonstandard_Analysis/NSA.thy,Nonstandard_Analysis,324,286,38,0
Probability/SPMF.thy,Probability,367,283,84,0
Library/Extended_Nonnegative_Real.thy,Library,326,279,47,0
Analysis/Henstock_Kurzweil_Integration.thy,Analysis,357,241,115,0
GCD.thy,.,307,240,66,0
Library/Finite_Map.thy,Library,260,240,20,0
Complete_Lattices.thy,.,259,239,20,0
Complex.thy,.,265,238,27,0
Rings.thy,.,298,237,59,0
Analysis/Abstract_Metric_Spaces.thy,Analysis,364,235,129,0
HOL.thy,.,254,231,23,0
Int.thy,.,300,225,75,0
Nominal/Nominal.thy,Nominal,295,223,72,0
Library/RBT_Impl.thy,Library,275,216,59,0
Fun.thy,.,244,212,32,0
Analysis/Abstract_Topological_Spaces.thy,Analysis,390,210,180,0
Limits.thy,.,266,205,60,0
Set_Interval.thy,.,235,201,34,0
Analysis/Elementary_Metric_Spaces.thy,Analysis,280,200,80,0
ex/BinEx.thy,ex,220,196,23,1
Computational_Algebra/Formal_Power_Series.thy,Computational_Algebra,297,195,102,0
Filter.thy,.,259,195,64,0
Analysis/Measure_Space.thy,Analysis,313,192,121,0
Library/Float.thy,Library,242,189,53,0
Num.thy,.,199,187,12,0
Decision_Procs/MIR.thy,Decision_Procs,238,181,57,0
Library/Sublist.thy,Library,226,181,45,0
Real_Asymp/Multiseries_Expansion.thy,Real_Asymp,283,181,101,0
Analysis/Homotopy.thy,Analysis,310,176,134,0
Probability/Probability_Mass_Function.thy,Probability,254,174,80,0
Product_Type.thy,.,184,171,13,0
Analysis/Elementary_Topology.thy,Analysis,230,167,63,0
Transitive_Closure.thy,.,201,158,43,0
Decision_Procs/Parametric_Ferrante_Rackoff.thy,Decision_Procs,212,157,55,0
Groups.thy,.,201,156,45,0
Cardinals/Cardinal_Order_Relation.thy,Cardinals,172,153,19,0
Fields.thy,.,200,153,47,0
Analysis/Infinite_Sum.thy,Analysis,242,152,88,0
Finite_Set.thy,.,275,150,125,0
HOLCF/Cpo.thy,HOLCF,192,150,42,0
Library/Landau_Symbols.thy,Library,221,146,75,0
Algebra/Group.thy,Algebra,209,144,65,0
Nonstandard_Analysis/NSComplex.thy,Nonstandard_Analysis,145,144,1,0
ex/Classical.thy,ex,145,143,0,1
Power.thy,.,174,142,32,0
Euclidean_Rings.thy,.,229,141,88,0
Archimedean_Field.thy,.,164,138,23,0
Code_Numeral.thy,.,145,138,7,0
Analysis/Borel_Space.thy,Analysis,206,137,69,0
Analysis/Sigma_Algebra.thy,Analysis,224,137,87,0
Conditionally_Complete_Lattices.thy,.,156,137,18,0
Rat.thy,.,157,137,20,0
Library/Complete_Partial_Order2.thy,Library,165,131,34,0
Library/Mapping.thy,Library,145,131,14,0
Real_Vector_Spaces.thy,.,182,131,50,0
Analysis/Convex.thy,Analysis,173,128,45,0
Analysis/Bochner_Integration.thy,Analysis,201,126,75,0
Analysis/Polytope.thy,Analysis,208,126,82,0
Real.thy,.,164,126,38,0
Orderings.thy,.,152,121,31,0
Computational_Algebra/Factorial_Ring.thy,Computational_Algebra,219,120,99,0
Analysis/Abstract_Topology_2.thy,Analysis,182,119,63,0
Analysis/Topology_Euclidean_Space.thy,Analysis,199,119,80,0
Analysis/Finite_Cartesian_Product.thy,Analysis,135,116,19,0
Decision_Procs/Reflected_Multivariate_Polynomial.thy,Decision_Procs,144,116,28,0
Map.thy,.,148,116,32,0
Combinatorics/Permutations.thy,Combinatorics,191,115,76,0
Bali/DeclConcepts.thy,Bali,161,113,48,0
Quotient_Examples/Quotient_FSet.thy,Quotient_Examples,129,113,16,0
Real_Asymp/Real_Asymp_Examples.thy,Real_Asymp,118,113,5,0
Homology/Simplices.thy,Homology,172,112,60,0
Library/AList.thy,Library,124,108,16,0
Analysis/Gamma_Function.thy,Analysis,187,106,81,0
Nonstandard_Analysis/StarDef.thy,Nonstandard_Analysis,109,105,4,0
Algebra/Divisibility.thy,Algebra,193,104,89,0
Complex_Analysis/Contour_Integration.thy,Complex_Analysis,139,103,36,0
