rel,loc,goals,isar,apply,by,bad,isar_ratio,quality
Algebra/Algebraic_Closure.thy,1015,42,537,0,247,0,1.0,1.0
Algebra/Algebraic_Closure_Type.thy,625,32,215,0,124,0,1.0,1.0
Algebra/Chinese_Remainder.thy,511,43,172,0,107,0,1.0,1.0
Algebra/Congruence.thy,458,53,78,0,74,0,1.0,1.0
Algebra/Embedded_Algebras.thy,1776,104,865,0,420,0,1.0,1.0
Algebra/Finite_Extensions.thy,744,58,324,0,149,0,1.0,1.0
Algebra/Indexed_Polynomials.thy,549,32,216,0,105,0,1.0,1.0
Algebra/Left_Coset.thy,139,12,40,0,29,0,1.0,1.0
Algebra/Polynomial_Divisibility.thy,2272,109,1101,0,470,0,1.0,1.0
Algebra/Ring_Divisibility.thy,930,48,460,0,219,0,1.0,1.0
Algebra/SimpleGroups.thy,96,5,52,0,22,0,1.0,1.0
Algebra/SndIsomorphismGrp.thy,207,9,135,0,52,0,1.0,1.0
Algebra/Solvable_Groups.thy,165,12,49,0,29,0,1.0,1.0
Algebra/Sylow.thy,339,51,88,0,69,0,1.0,1.0
Algebra/Sym_Groups.thy,571,42,243,0,132,0,1.0,1.0
Algebra/Weak_Morphisms.thy,499,43,151,0,89,0,1.0,1.0
Analysis/Abstract_Limits.thy,387,54,84,0,73,0,1.0,1.0
Analysis/Ball_Volume.thy,331,11,152,0,71,0,1.0,1.0
Analysis/Connected.thy,671,76,194,0,138,0,1.0,1.0
Analysis/Euclidean_Space.thy,416,41,93,0,74,0,1.0,1.0
Analysis/FPS_Convergence.thy,1156,104,558,0,266,0,1.0,1.0
Analysis/Generalised_Binomial_Theorem.thy,257,11,171,0,75,0,1.0,1.0
Analysis/Harmonic_Numbers.thy,544,34,313,0,142,0,1.0,1.0
Analysis/Inner_Product.thy,449,69,49,0,69,0,1.0,1.0
Analysis/Integral_Test.thy,114,6,60,0,22,0,1.0,1.0
Analysis/L2_Norm.thy,134,18,39,0,25,0,1.0,1.0
Analysis/Measurable.thy,640,59,203,0,107,0,1.0,1.0
Analysis/Metric_Arith.thy,115,12,15,0,12,0,1.0,1.0
Analysis/Operator_Norm.thy,250,21,105,0,52,0,1.0,1.0
Analysis/Simplex_Content.thy,265,10,148,0,71,0,1.0,1.0
Analysis/Starlike.thy,6616,121,1347,0,638,0,1.0,1.0
Analysis/Uncountable_Sets.thy,122,12,37,0,26,0,1.0,1.0
Auth/Event.thy,270,38,1,0,29,0,1.0,1.0
Auth/Guard/README_Guard.thy,58,3,5,0,0,0,1.0,1.0
BNF_Cardinal_Arithmetic.thy,815,119,281,0,199,0,1.0,1.0
BNF_Fixpoint_Base.thy,299,71,26,0,74,0,1.0,1.0
BNF_Wellorder_Relation.thy,555,40,229,0,121,0,1.0,1.0
Bali/DefiniteAssignment.thy,1828,49,810,0,283,0,1.0,1.0
Binomial_Plus.thy,419,34,343,0,125,0,1.0,1.0
Cardinals/Fun_More.thy,92,11,6,0,13,0,1.0,1.0
Cardinals/Order_Relation_More.thy,630,59,296,0,145,0,1.0,1.0
Cardinals/Order_Union.thy,193,15,72,0,44,0,1.0,1.0
Cardinals/Ordinal_Arithmetic.thy,1674,143,996,0,479,0,1.0,1.0
Cardinals/Wellfounded_More.thy,50,2,12,0,5,0,1.0,1.0
Cardinals/Wellorder_Embedding.thy,129,16,19,0,25,0,1.0,1.0
Codegenerator_Test/Candidates.thy,67,1,1,0,1,0,1.0,1.0
Combinatorics/Cycles.thy,564,28,329,0,128,0,1.0,1.0
Combinatorics/List_Permutation.thy,143,30,11,0,34,0,1.0,1.0
Combinatorics/Orbits.thy,594,60,300,0,143,0,1.0,1.0
Combinatorics/Permutations.thy,2334,192,1149,0,507,0,1.0,1.0
Combinatorics/Stirling.thy,308,21,154,0,63,0,1.0,1.0
Combinatorics/Transposition.thy,204,45,6,0,46,0,1.0,1.0
Complex_Analysis/Weierstrass_Factorization.thy,1604,31,1018,0,397,0,1.0,1.0
Computational_Algebra/Factorial_Ring.thy,2319,220,1324,0,576,0,1.0,1.0
Computational_Algebra/Formal_Laurent_Series.thy,4679,585,1235,0,897,0,1.0,1.0
Computational_Algebra/Fraction_Field.thy,476,35,230,0,108,0,1.0,1.0
Computational_Algebra/Normalized_Fraction.thy,445,50,137,0,75,0,1.0,1.0
Computational_Algebra/Nth_Powers.thy,327,39,119,0,67,0,1.0,1.0
Computational_Algebra/Polynomial_FPS.thy,361,51,70,0,67,0,1.0,1.0
Computational_Algebra/Polynomial_Factorial.thy,754,55,391,0,183,0,1.0,1.0
Computational_Algebra/Squarefree.thy,364,49,166,0,82,0,1.0,1.0
Data_Structures/AVL_Bal_Set.thy,194,15,43,0,18,0,1.0,1.0
Data_Structures/AVL_Map.thy,187,4,154,0,30,0,1.0,1.0
Data_Structures/AVL_Set_Code.thy,108,6,6,0,5,0,1.0,1.0
Data_Structures/Balance.thy,248,28,96,0,58,0,1.0,1.0
Data_Structures/Base_FDS.thy,24,2,3,0,1,0,1.0,1.0
Data_Structures/Braun_Tree.thy,183,15,97,0,43,0,1.0,1.0
Data_Structures/Heaps.thy,94,2,45,0,14,0,1.0,1.0
Data_Structures/Leftist_Heap.thy,202,21,46,0,32,0,1.0,1.0
Data_Structures/Map_Specs.thy,78,1,19,0,6,0,1.0,1.0
Data_Structures/Queue_2Lists.thy,78,2,25,0,10,0,1.0,1.0
Data_Structures/RBT_Map.thy,130,10,40,0,20,0,1.0,1.0
Data_Structures/RBT_Set.thy,337,50,40,0,63,0,1.0,1.0
Data_Structures/Selection.thy,1074,78,495,0,237,0,1.0,1.0
Data_Structures/Set2_Join.thy,376,23,214,0,68,0,1.0,1.0
Data_Structures/Set2_Join_RBT.thy,246,27,76,0,32,0,1.0,1.0
Data_Structures/Set_Specs.thy,96,1,22,0,7,0,1.0,1.0
Data_Structures/Sorting.thy,436,44,155,0,79,0,1.0,1.0
Data_Structures/Time_Locale_Example.thy,166,8,77,0,26,0,1.0,1.0
Data_Structures/Tree234_Map.thy,179,10,22,0,15,0,1.0,1.0
Data_Structures/Tree23_Map.thy,142,10,25,0,17,0,1.0,1.0
Data_Structures/Tree_Map.thy,59,3,14,0,7,0,1.0,1.0
Data_Structures/Tree_Set.thy,120,6,28,0,14,0,1.0,1.0
Data_Structures/Trie_Fun.thy,68,4,13,0,8,0,1.0,1.0
Data_Structures/Trie_Ternary.thy,114,7,32,0,13,0,1.0,1.0
Datatype_Examples/Datatype_Simproc_Tests.thy,49,4,4,0,6,0,1.0,1.0
Datatype_Examples/Koenig.thy,123,14,16,0,19,0,1.0,1.0
Datatype_Examples/Lambda_Term.thy,51,3,4,0,3,0,1.0,1.0
Datatype_Examples/Milner_Tofte.thy,134,3,12,0,5,0,1.0,1.0
Datatype_Examples/Process.thy,272,15,43,0,24,0,1.0,1.0
Datatype_Examples/Stream_Processor.thy,213,13,50,0,17,0,1.0,1.0
Datatype_Examples/TreeFI.thy,47,2,12,0,3,0,1.0,1.0
Decision_Procs/Approximation.thy,1188,33,331,0,130,0,1.0,1.0
Decision_Procs/Commutative_Ring.thy,962,41,140,0,72,0,1.0,1.0
Decision_Procs/Conversions.thy,840,7,6,0,7,0,1.0,1.0
Decision_Procs/Cooper.thy,2608,119,1095,0,510,0,1.0,1.0
Decision_Procs/DP_Library.thy,41,4,13,0,8,0,1.0,1.0
Decision_Procs/Dense_Linear_Order.thy,882,90,139,0,126,0,1.0,1.0
Decision_Procs/Ferrack.thy,2527,120,1215,0,555,0,1.0,1.0
Decision_Procs/Polynomial_List.thy,1033,62,228,0,117,0,1.0,1.0
Decision_Procs/Rat_Pair.thy,590,42,296,0,134,0,1.0,1.0
Euclidean_Rings.thy,2747,231,1329,0,606,0,1.0,1.0
Examples/Ackermann.thy,174,8,20,0,16,0,1.0,1.0
Examples/Cantor.thy,137,8,63,0,11,0,1.0,1.0
Examples/Drinker.thy,53,2,32,0,4,0,1.0,1.0
Examples/Knaster_Tarski.thy,113,3,54,0,4,0,1.0,1.0
Examples/Peirce.thy,87,2,37,0,4,0,1.0,1.0
Examples/Sqrt.thy,105,4,81,0,33,0,1.0,1.0
Extraction.thy,412,9,28,0,10,0,1.0,1.0
Fields.thy,1331,204,399,0,293,0,1.0,1.0
Finite_Set.thy,3079,275,1416,0,630,0,1.0,1.0
Groups.thy,1508,213,384,0,320,0,1.0,1.0
Groups_List.thy,713,31,40,0,35,0,1.0,1.0
HOL.thy,2204,272,248,0,294,0,1.0,1.0
HOLCF/Compact_Basis.thy,122,13,32,0,21,0,1.0,1.0
HOLCF/IOA/ABP/Lemmas.thy,45,7,1,0,7,0,1.0,1.0
HOLCF/IOA/NTP/Receiver.thy,97,2,2,0,1,0,1.0,1.0
HOLCF/IOA/NTP/Sender.thy,93,2,2,0,1,0,1.0,1.0
HOLCF/IOA/Storage/Impl.thy,40,1,2,0,1,0,1.0,1.0
HOLCF/Tutorial/Fixrec_ex.thy,245,9,5,0,11,0,1.0,1.0
Hahn_Banach/Bounds.thy,61,4,37,0,2,0,1.0,1.0
